Epoch	Total Ep	Train Loss	Val Loss	Val Acc	
0	40	0.8375667174353855	0.7602681796997786	0.27197265625	
1	40	0.7422899244395831	0.7602681796997786	0.27197265625	
2	40	0.6590605455500479	0.7602681796997786	0.27197265625	
3	40	0.5848690730924825	0.7602681796997786	0.27197265625	
4	40	0.5318855195100071	0.7602681796997786	0.27197265625	
5	40	0.4797874381979003	0.5072093158960342	0.94287109375	
6	40	0.4355840537384266	0.5072093158960342	0.94287109375	
7	40	0.40049729820426183	0.5072093158960342	0.94287109375	
8	40	0.3689262450651358	0.5072093158960342	0.94287109375	
9	40	0.3455966811143715	0.5072093158960342	0.94287109375	
10	40	0.3231329290011457	0.3541728490963578	0.94775390625	
11	40	0.3026671992003463	0.3541728490963578	0.94775390625	
12	40	0.2860873306298074	0.3541728490963578	0.94775390625	
13	40	0.27621718547271407	0.3541728490963578	0.94775390625	
14	40	0.2616473905002798	0.3541728490963578	0.94775390625	
15	40	0.25381739107707074	0.274677608627826	0.94775390625	
16	40	0.2438648256636758	0.274677608627826	0.94775390625	
17	40	0.24153893674147947	0.274677608627826	0.94775390625	
18	40	0.23301432492168805	0.274677608627826	0.94775390625	
19	40	0.22564630608522254	0.274677608627826	0.94775390625	
20	40	0.22541053388409943	0.23381788562983274	0.94775390625	
21	40	0.22101991043518518	0.23381788562983274	0.94775390625	
22	40	0.22077979323745683	0.23381788562983274	0.94775390625	
23	40	0.21028661688093012	0.23381788562983274	0.94775390625	
24	40	0.2131939009969471	0.23381788562983274	0.94775390625	
25	40	0.20948067677157525	0.2096422128379345	0.94775390625	
26	40	0.20404135543881483	0.2096422128379345	0.94775390625	
27	40	0.2073785281590833	0.2096422128379345	0.94775390625	
28	40	0.20290101478800518	0.2096422128379345	0.94775390625	
29	40	0.20657464679870896	0.2096422128379345	0.94775390625	
30	40	0.203944479065542	0.19966924469918013	0.94775390625	
31	40	0.19992926847616224	0.19966924469918013	0.94775390625	
32	40	0.1959028083063264	0.19966924469918013	0.94775390625	
33	40	0.20131853518595222	0.19966924469918013	0.94775390625	
34	40	0.19833065256590152	0.19966924469918013	0.94775390625	
35	40	0.199019922043076	0.19285999750718474	0.94775390625	
36	40	0.20019109484576086	0.19285999750718474	0.94775390625	
37	40	0.19890345536343013	0.19285999750718474	0.94775390625	
38	40	0.19449534528810558	0.19285999750718474	0.94775390625	
39	40	0.198034236819007	0.19285999750718474	0.94775390625	
